CountryName,CountryCode,Indicator.Name,Indicator.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.08,72.37,72.50,72.32,72.64,72.81,74.51,74.72,74.61,75.52,75.24,75.84,75.71,75.91,76.17,76.48,76.78,76.92
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.09,56.40,56.68,56.93,57.18,57.42,57.70,58.01,58.38,58.81,59.28,59.80,60.34,60.87,61.38,61.87,62.31,62.70
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.79,70.33,70.70,70.56,70.68,71.25,72.25,72.35,72.30,72.65,72.65,73.10,73.15,73.70,73.90,74.21,74.86,75.06
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.47,65.84,66.21,66.56,66.91,67.25,67.59,67.91,68.24,68.55,68.85,69.15,69.42,69.69,69.93,70.17,70.39,70.61
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.19,60.57,60.97,61.37,61.77,62.16,62.56,62.95,63.34,63.72,64.10,64.46,64.79,65.11,65.41,65.69,65.96,66.21
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.57,75.83,75.99,76.18,76.08,76.54,77.13,77.63,78.14,78.54,78.94,79.24,79.64,80.10,80.19,80.74,80.75,80.90
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.80,68.20,68.55,68.88,69.23,69.61,70.00,70.40,70.78,71.15,71.49,71.83,72.16,72.48,72.81,73.13,73.45,73.76
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.95,71.03,71.04,71.00,70.93,70.83,70.67,70.43,70.12,69.77,69.41,69.09,68.86,68.73,68.73,68.83,69.02,69.24
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.98,78.78,78.89,79.60,79.35,79.65,80.69,80.50,80.96,81.00,81.50,81.16,81.45,81.61,81.75,81.90,82.36,82.92
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.17,78.52,78.82,78.98,79.42,79.78,80.03,80.23,79.88,80.78,80.73,81.28,81.38,81.73,81.94,82.34,82.64,82.94
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.27,70.26,70.27,70.31,70.38,70.47,70.60,70.78,70.98,71.22,71.48,71.76,72.04,72.32,72.59,72.85,73.08,73.28
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.93,71.10,71.26,71.43,71.61,71.78,71.96,72.13,72.30,72.47,72.64,72.80,72.96,73.12,73.28,73.44,73.59,73.75
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.54,80.20,80.42,80.50,80.57,81.08,81.42,81.56,81.76,82.03,81.93,82.32,82.51,82.59,82.93,82.84,82.59,83.10
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.92,64.11,64.46,64.56,65.52,65.52,65.77,65.97,65.87,65.89,65.91,66.16,66.50,67.02,68.43,68.30,68.89,69.49
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.96,55.13,54.35,53.67,53.15,52.84,52.78,52.95,53.35,53.93,54.70,55.60,56.59,57.61,58.62,59.55,60.37,61.08
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.79,66.54,66.89,67.05,67.00,68.56,68.71,68.11,68.26,68.15,67.96,67.70,67.85,68.45,69.10,69.30,69.60,70.00
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.75,58.48,59.26,60.08,60.96,61.89,62.88,63.91,64.97,66.02,67.04,67.98,68.82,69.54,70.15,70.64,71.05,71.41
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.58,63.01,63.43,63.85,64.24,64.61,64.96,65.29,65.62,65.94,66.26,66.58,66.91,67.23,67.56,67.88,68.21,68.53
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.39,73.83,74.25,74.68,75.37,75.84,76.34,76.84,77.25,77.85,78.43,78.97,79.35,79.83,80.30,80.55,80.97,81.37
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.90,73.00,73.10,73.19,73.27,73.36,73.43,73.51,73.59,73.66,73.74,73.82,73.90,73.98,74.07,74.16,74.26,74.36
Latin America & Caribbean (developing only),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.83,70.17,70.51,70.82,71.12,71.42,71.69,71.96,72.22,72.48,72.73,72.99,73.24,73.49,73.73,73.98,74.22,74.46
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.08,58.84,59.58,60.30,60.99,61.64,62.27,62.87,63.44,63.98,64.50,65.00,65.49,65.97,66.44,66.90,67.35,67.81
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.07,72.51,72.97,73.43,73.91,74.39,74.89,75.42,75.97,76.52,77.07,77.60,78.08,78.52,78.91,79.25,79.56,79.85
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.16,50.98,51.63,52.07,52.30,52.41,52.53,52.81,53.33,54.10,55.07,56.14,57.19,58.11,58.86,59.43,59.86,60.21
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.29,70.63,70.96,71.29,71.63,71.97,72.30,72.63,72.96,73.27,73.58,73.86,74.12,74.36,74.59,74.79,74.99,75.18
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.18,71.16,71.16,71.19,71.28,71.42,71.64,71.93,72.26,72.63,73.01,73.37,73.71,73.99,74.23,74.41,74.55,74.67
Latin America & Caribbean (all income levels),LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.05,70.38,70.71,71.03,71.33,71.63,71.91,72.18,72.44,72.69,72.94,73.19,73.43,73.68,73.92,74.16,74.40,74.64
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.51,53.86,54.23,54.61,55.01,55.43,55.86,56.32,56.80,57.30,57.81,58.33,58.84,59.34,59.83,60.29,60.72,61.13
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.26,54.47,54.71,54.99,55.31,55.68,56.08,56.52,56.99,57.48,58.00,58.52,59.06,59.61,60.14,60.65,61.14,61.58
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.42,69.38,69.53,69.89,70.45,71.16,71.90,72.57,73.09,73.43,73.60,73.64,73.62,73.62,73.66,73.76,73.90,74.07
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.35,61.63,61.92,62.23,62.53,62.82,63.13,63.44,63.75,64.06,64.37,64.68,64.97,65.25,65.53,65.79,66.03,66.25
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.22,64.45,64.71,64.98,65.28,65.60,65.92,66.22,66.53,66.82,67.10,67.37,67.64,67.89,68.15,68.39,68.63,68.85
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.84,55.11,53.13,51.06,49.02,47.18,45.67,44.54,43.82,43.53,43.66,44.15,44.88,45.74,46.63,47.48,48.22,48.84
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.01,70.11,70.91,71.22,71.57,72.02,71.66,71.76,72.06,71.96,71.25,71.06,70.90,71.81,72.91,73.27,73.56,73.86
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.51,76.52,76.88,77.02,77.77,77.87,77.82,77.97,77.73,79.12,79.43,79.29,79.38,80.54,80.64,80.63,80.99,81.39
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.39,68.78,69.35,69.01,69.74,70.31,70.76,70.96,71.27,72.03,71.36,70.87,71.02,72.42,73.08,73.48,73.58,73.78
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.50,76.73,76.96,77.19,77.41,77.62,77.83,78.04,78.25,78.45,78.65,78.85,79.06,79.27,79.48,79.69,79.91,80.13
